Rank;Value;Player Name;Status;Games Played;Total Minutes;PTS;TPM;REB;AST;STL;BLK;TOV;FG%;FGA;FT%;FTA;zPTS;zTPM;zAST;zREB;zSTL;zBLK;zTOV;zFG%;zFT%
1;2.1573840753861906;Victor Wembanyama;;72;33.5;27.3;3.3855;11.78;4.38;1.27;3.85;3.12;0.49;19.52;0.83;5.93;2.6869230068283456;2.4617742768764943;1.1793423875600852;3.2806573486830675;1.4861229525349438;8.055763990907595;-2.3774726740861705;0.8554403000556465;1.7879050891157087
2;1.9700231014027096;Nikola Jokić;;72;35.4;27.8;1.9762;11.72;10.36;1.72;0.7;3.17;0.58;17.97;0.81;6.34;2.7625898334161247;0.92952254418403;4.381111165396496;3.2561121379422917;2.6193778971752684;0.6273621322782922;-2.43864201543792;4.26988415068985;1.3228900669799555
3;1.9090915021720636;Shai Gilgeous-Alexander;;74;32.5;32.1;2.0482;4.82;6.52;1.59;1;2.26;0.51;21.21;0.9;9.12;3.413324542071027;1.0078040490118576;2.325125863240674;0.433412902753048;2.291993135390286;1.3348289759572736;-1.3253600028360708;1.8497716084392377;5.850922445521241
4;1.3956681910474862;Luka Dončić;;72;35.4;30.6;3.7278000000000002;7.87;8.64;1.87;0.45;3.76;0.48;21.13;0.79;8.69;3.1863240623076887;2.8339375977454586;3.4602010821392013;1.6811277820758295;2.99712954538871;0.0378064292124746;-3.160440243388569;0.47564524441120254;1.04928221953538
5;1.1722821280056839;Anthony Davis;;64;33.2;24;0.9664;9.73;4.31;1.07;2.25;2.76;0.5;17.52;0.78;6.96;2.187521951349002;-0.16837556102625206;1.1418634888228696;2.442029315039887;0.9824540882503553;4.282607491286362;-1.9370534163535702;1.139019875571243;0.48047191911125575
6;1.1658681411391043;Stephen Curry;;65;32.6;25.2;4.5633;4.54;5.95;1;0.4;2.74;0.46;17.92;0.94;4.44;2.3691223351596724;3.7423292266850408;2.019940544951919;0.3188685859627598;0.8061699857507492;-0.08010471140068891;-1.9125856798128709;-0.3791810825025461;3.608254065457903
7;1.1206714189942462;Kevin Durant;Unrestricted Free Agent, New Team;65;26.1;26;2.961;5.3;4.59;0.83;0.91;3.01;0.52;18.03;0.87;5.07;2.4901892577001195;2.000239571329094;1.2917790837717318;0.6297745886792561;0.37805145110884864;1.1225889228535793;-2.24290012311232;1.951619717585312;2.4647003010325936
8;1.0781400355681512;Karl-Anthony Towns;Restricted Free Agent, New Contract;71;33.1;23.5;2.0033999999999996;10.58;2.95;0.96;0.69;2.67;0.53;16.14;0.84;5.37;2.111855124761223;0.9590955571189868;0.41370202764268277;2.789753133867547;0.7054362128938313;0.6037799041556595;-1.8269486019204206;2.088358566933789;1.858228394660062
9;1.0522601015187119;Cade Cunningham;;75;35.1;27.5;2.34;5.7;9.34;1.08;0.73;4.17;0.48;20.94;0.85;5.78;2.7171897374634573;1.325061592189081;3.834990069511356;0.7934093269510964;1.0076375314645847;0.6981088166461904;-3.6620288424729193;0.47079213940552;2.28518054251004
10;1.0337154565420148;Evan Mobley;;74;31.6;19.6;1.6056;9.76;3.66;0.89;1.77;2.11;0.55;13.33;0.73;4.58;1.5216538773765445;0.5265902429452395;0.7938451434058688;2.4543019204102743;0.5291521103942254;3.1506605413999917;-1.141851978780821;2.288498896792911;-0.8194116450661
11;1.0193274578448563;Devin Booker;Unrestricted Free Agent, New Team, New Contract;73;35.4;29.1;2.9715;4.78;8;0.88;0.3;3.85;0.47;21.12;0.88;6.89;2.959323582544351;2.0116556241164854;3.1175368651132307;0.417049428925864;0.5039686671799959;-0.31592699262701607;-3.2705450578217197;0.01996954551354609;3.7309154576589703
12;1.0154646311267665;Donovan Mitchell;Unrestricted Free Agent;69;31.4;26.1;3.3440000000000003;4.63;5.55;1.26;0.27;2.32;0.46;18.77;0.86;6.24;2.5053226230176753;2.416653687288233;1.8057754093106875;0.35568640207392377;1.4609395093207145;-0.3866736769949141;-1.3987632124581708;-0.3941277067703501;2.774368645353099
13;1.0031871806411508;Anthony Edwards;New Contract;79;36.5;28.5;4.28;5.51;4.62;1.13;0.66;3.24;0.45;20.54;0.84;6.89;2.8685233906390155;3.4343132500499918;1.3078414689448243;0.7156828262719722;1.1335547475357315;0.5330332197877615;-2.5242790933303705;-0.8681653187804322;2.4281801346518623
14;0.9898665844018488;Jalen Williams;;71;32.4;23.3;1.9456;5.38;5.43;1.66;0.69;2.28;0.49;17.33;0.81;5.18;2.0815883941261113;0.8962529046322033;1.741525868618318;0.6625015363336242;2.4682772378898914;0.6037799041556595;-1.3498277393767708;0.7522778998634962;1.0524232533741054
15;0.982332307465179;Tyrese Maxey;New Team, Unrestricted Free Agent;71;38.7;25.7;3.3623999999999996;3.35;6.32;1.62;0.39;2.43;0.43;20.23;0.88;5.43;2.4447891617474515;2.4366589607442326;2.2180432954200584;-0.16794476039596481;2.3675434650329743;-0.10368693952332164;-1.533335763432021;-1.728487108376742;2.9074104559699436
16;0.9804625488367099;James Harden;Player Option, New Contract;74;34.6;21.2;2.9906;5.53;8.1;1.34;0.7;3.79;0.42;14.74;0.88;6.72;1.7637877224574379;2.0324219677583124;3.1710781490235385;0.7238645631855644;1.66240705503455;0.6273621322782922;-3.1971418481996197;-1.5946446909768346;3.635027888969148
17;0.9789860040610578;Joel Embiid;;32;27.4;22.4;1.369;7.99;4.24;0.72;1.01;3.09;0.47;14.23;0.88;8.52;1.9453881062681082;0.26934852013601723;1.1043845900856544;1.7302182035573817;0.10103357575232493;1.3584112040799063;-2.34077106927512;-0.007447122092632979;4.650308028037881
18;0.9757972839772582;Kawhi Leonard;;52;32.4;21.9;2.0869;6.05;3.12;1.59;0.63;1.81;0.5;16.68;0.85;3.59;1.8697212796803289;1.049880357856815;0.5047222102902061;0.9365897229389565;2.291993135390286;0.46228653541986336;-0.7748359306703215;1.0813374286284851;1.3604808162607034
19;0.9655453755737141;Amen Thompson;Restricted Free Agent;72;35.5;16.4;0.528;8.64;5.54;1.7;1.45;2.03;0.57;11.28;0.68;4.4;1.0373861872147567;-0.6450229459779134;1.8004212809196567;1.9961246532491221;2.5690110107468094;2.3960292414757456;-1.043981032618021;2.413172418782704;-1.8332324336294339
20;0.9618814054555614;Jimmy Butler III;;66;33.4;16.5;0.7227;5.29;5.75;1.59;0.27;1.41;0.51;10.26;0.87;6.14;1.0525195525323128;-0.43333671000599633;1.9128579771313032;0.6256837202224602;2.291993135390286;-0.3866736769949141;-0.28548119985632175;0.8617198141066811;3.0176500365742416
21;0.9587228887529196;LeBron James;Unrestricted Free Agent;69;34.4;24.7;2.242;7.25;7.37;1.05;0.55;3.43;0.52;17.84;0.79;4.94;2.293455508571893;1.2185117661734268;2.780226776478291;1.427493937754477;0.9320872018218964;0.27362871043880177;-2.75672259046702;1.9303783823073652;0.5294463056971463
22;0.9475048289163479;Chet Holmgren;;68;29.5;16.6;1.6529999999999998;8.39;2.49;0.79;2.27;1.82;0.51;11.36;0.77;4.42;1.0676529178498688;0.5781255669568925;0.16741212165526656;1.893852941829222;0.2773176782519311;4.329771947531627;-0.7870697989406715;0.9609761587428237;0.039503926370169695
23;0.9302841744029239;Trey Murphy III;Restricted Free Agent;61;34.4;21.4;3.2832000000000003;5.02;4.21;1.08;0.64;1.91;0.46;15.57;0.88;4.47;1.7940544530925495;2.3505493054336233;1.088322204912562;0.5152302718889679;1.0076375314645847;0.4858687635424961;-0.8971746133738213;-0.3378580624680333;2.365927715133385
24;0.9114952345354538;Derrick White;;63;35.1;19;3.6542999999999997;5;6.25;1.17;1.06;2.45;0.43;14.57;0.86;3.4;1.4308536854712093;2.754025228233717;2.1805643966828425;0.507048534975376;1.2342885203926492;1.47632234469307;-1.557803499972721;-1.2628126091972194;1.4409705095401613
25;0.8869194912436337;Domantas Sabonis;;74;35.4;18.5;1.0608000000000002;14.17;6.28;0.73;0.28;2.92;0.58;12.51;0.75;3.77;1.35518685888343;-0.06573981025198905;2.1966267818559353;4.258374909857313;0.12621701896655438;-0.3630914488722814;-2.1327953086791704;2.9530562741244357;-0.3455598546915239
