Rank;Value;Player Name;Status;Games Played;Total Minutes;PTS;TPM;REB;AST;STL;BLK;TOV;FG%;FGA;FT%;FTA;zPTS;zTPM;zAST;zREB;zSTL;zBLK;zTOV;zFG%;zFT%
1;1.80849249698702;Victor Wembanyama;;72;2412;1965.6000000000001;243.756;848.16;315.36;91.44;277.2;224.64000000000001;0.49;1405.44;0.83;426.96;2.7510750974881932;2.608765035581636;1.305027243286289;3.3254650173108824;1.6109769972067307;8.420379254047159;-2.4742588042276386;0.9155297585152872;-2.186527126325359
2;1.637219477287533;Nikola Jokić;;72;2548.7999999999997;2001.6000000000001;142.2864;843.84;745.92;123.84;50.4;228.24;0.58;1293.84;0.81;456.48;2.823732164436344;1.0796844362915559;4.470478561708817;3.302100387379852;2.6699741692068555;0.794340589950014;-2.53307377263696;4.645356652388236;-2.5176178931369178
3;1.0393294107457334;Evan Mobley;;74;2338.4;1450.4;118.81439999999999;722.24;270.84000000000003;65.86;130.98;156.14;0.55;986.42;0.73;338.92;1.7112717393857708;0.7259767265288611;0.9777188711751527;2.644429322654547;0.7748921928930522;3.5038035333051636;-1.3551406553280472;2.550854036834883;-2.1798410707377824
4;1.0246753312665733;Amen Thompson;Restricted Free Agent;72;2556;1180.8;38.016000000000005;622.08;398.88;122.39999999999999;104.39999999999999;146.16;0.57;812.16;0.68;316.8;1.1671510380185088;-0.4916023897156055;1.919061278298017;2.1027160509202836;2.622907628229072;2.6100640814017155;-1.192092492904428;2.6149653907109927;-2.1310926035593973
5;1.0184822216130038;Shai Gilgeous-Alexander;;74;2405;2375.4;151.5668;356.68;482.47999999999996;117.66000000000001;74;167.23999999999998;0.51;1569.54;0.9;674.88;3.5781547095813084;1.2195340029957873;2.533683468515694;0.6673056843241009;2.4679802641772026;1.5878790047326095;-1.5364868079234553;2.0605747775865666;-3.4122851094727795
6;0.97806031473822;Ivica Zubac;;74;2316.2000000000003;1235.8;0;890.9599999999999;187.96;41.440000000000005;85.83999999999999;101.38000000000001;0.63;853.9599999999999;0.7;220.52;1.2781548903004059;-1.0644786803742035;0.36839007781102406;3.556947924960907;-0.023277897855189713;1.985993192487945;-0.4604996358573672;4.430894311018352;-1.2695813498478945
7;0.9613002085219957;Dyson Daniels;;72;2383.2000000000003;1008;66.096;406.8;338.40000000000003;201.6;50.4;165.6;0.52;835.1999999999999;0.64;108;0.8183971166673859;-0.0684551295700503;1.4744159425998693;0.938378659357261;5.211567382007154;0.794340589950014;-1.5096933223147646;1.32546789288524;-0.33271725488414844
8;0.9079226245303578;Luka Dončić;;72;2548.7999999999997;2203.2000000000003;268.40160000000003;566.64;622.08;134.64000000000001;32.4;270.71999999999997;0.48;1521.36;0.79;625.68;3.230611739345988;2.9801581308324656;3.560014302898325;1.8028699668053911;3.0229732265402305;0.18909942613278016;-3.227090399866954;0.5010701103972743;-3.888402882312282
9;0.8923642806883808;Domantas Sabonis;;74;2619.6;1369;78.49920000000002;1048.58;464.72;54.019999999999996;20.720000000000002;216.07999999999998;0.58;925.74;0.75;278.98;1.5469860380085634;0.11845299354381565;2.4031130127948104;4.409432408694479;0.38790063374238926;-0.20363484016640251;-2.334409879343251;3.2968056750317722;-1.59336751611075
10;0.8677886746088882;Jakob Poeltl;Unrestricted Free Agent, New Contract, New Team;70;2142;910;1.764;688.8;196.70000000000002;79.1;92.4;123.2;0.64;635.6;0.62;151.20000000000002;0.6206084344196424;-1.0378963524932647;0.4326460340610541;2.463569779855088;1.2076428891054487;2.206569972190226;-0.8169836943827551;3.481656153522806;-0.7477151447982525
11;0.8503030197790785;Walker Kessler;;62;1891;731.6;8.06;766.3199999999999;109.12;42.160000000000004;148.18;99.82000000000001;0.68;460.65999999999997;0.53;180.42000000000002;0.26055230265436263;-0.9430197445916829;-0.21123687765263288;2.8828350836174694;0.00025537263370190846;4.082145089841632;-0.43501314954666115;3.100221324857996;-1.084012223802478
12;0.8436331970458232;Giannis Antetokounmpo;;70;2338;2170;28.539;832.3000000000001;496.3;64.4;78.4;231.70000000000002;0.6;1374.8;0.63;770;3.1636057776049156;-0.6344145900147304;2.635287280343545;3.2396865379807567;0.7271719499572443;1.7358268447768224;-2.589601492274808;5.841613090876659;-6.526476625837996
13;0.8168507270678421;Jarrett Allen;Unrestricted Free Agent, New Team, New Contract;78;2184;1045.2;0;730.0799999999999;161.45999999999998;67.86;69.42;95.16;0.69;621.66;0.72;258.96;0.8934760858471417;-1.0644786803742035;0.17356366584010927;2.686831799196047;0.840262388695529;1.4338787530502244;-0.35888044043903916;4.420240456052773;-1.6732374842580031
14;0.8091317046896197;Jalen Duren;;74;2116.4;969.4;0.5327999999999999;804.38;230.88;59.940000000000005;85.83999999999999;139.85999999999999;0.69;569.0600000000001;0.7;267.88;0.740492594884091;-1.0564497323611852;0.683935345803162;3.08868180009317;0.581396413317721;1.985993192487945;-1.0891662981881152;4.038222858352205;-1.690920832182416
