stat,exp_year,n_pairs,mean_delta,median_delta,sd_delta
ast_per_36_min,2,165,0.3470707070707071,0.2999999999999998,0.9290040991533558
ast_per_36_min,3,217,0.16013824884792627,0.10000000000000009,0.9001598116779531
ast_per_36_min,4,246,0.3092411924119241,0.21666666666666679,0.8375613356775031
ast_per_36_min,5,231,0.0681096681096681,0.09999999999999998,0.8351850936035788
ast_per_36_min,6,213,0.12167449139280125,0.10000000000000053,0.8226972738777141
ast_per_36_min,7,190,0.04899122807017545,0.10000000000000003,0.9202523696198553
ast_per_36_min,8,174,0.13012452107279698,0.09999999999999998,0.8736566900230822
ast_per_36_min,9,159,0.11095387840670859,0.03333333333333344,0.9291890824171608
ast_per_36_min,10,129,0.0031653746770025984,0.09999999999999964,0.8827749769548034
ast_per_36_min,11,95,-0.1344736842105263,0,0.9427429129673849
ast_per_36_min,12,88,-0.05123106060606063,-0.14583333333333348,0.9809712032230534
ast_per_36_min,13,74,-0.04864864864864871,-0.09999999999999987,1.0316186862528978
ast_per_36_min,14,49,-0.10238095238095236,-0.09999999999999987,1.1571036638473187
ast_per_36_min,15,38,-0.049999999999999926,0,1.010091721224011
ast_per_36_min,16,31,-0.27849462365591393,-0.40000000000000036,0.9785684323653523
ast_per_36_min,17,19,0.1543859649122808,0.10000000000000009,1.0359709780907926
ast_per_36_min,18,14,-0.4785714285714286,-0.5333333333333334,0.8295408206580152
ast_per_36_min,19,7,-0.042857142857143087,0.09999999999999964,1.6008926081586932
ast_per_36_min,20,5,-0.23999999999999994,0.19999999999999973,1.2280065146407004
ast_per_36_min,21,2,0.7999999999999998,0.7999999999999998,1.1313708498984758
ast_per_36_min,22,1,0,0,NA
blk_per_36_min,2,165,-0.015151515151515145,0,0.2874392723763789
blk_per_36_min,3,217,-0.015053763440860225,0,0.27978664284012617
blk_per_36_min,4,246,-0.023414634146341463,0,0.3020208469669846
blk_per_36_min,5,231,0.004761904761904765,0,0.3340014009219203
blk_per_36_min,6,213,-0.02601721439749609,0,0.288355432708121
blk_per_36_min,7,190,-0.02394736842105263,0,0.2725776270439983
blk_per_36_min,8,174,-0.022078544061302677,0,0.23691309775725902
blk_per_36_min,9,159,-0.006551362683438159,0,0.30292085598278123
blk_per_36_min,10,129,-0.013630490956072352,0,0.27266197161398803
blk_per_36_min,11,95,0.056140350877192984,0,0.31941049638115704
blk_per_36_min,12,88,-0.032859848484848485,0,0.27665488929182147
blk_per_36_min,13,74,-0.01576576576576578,0,0.2458311762445706
blk_per_36_min,14,49,0.0251700680272109,0,0.20052369078713225
blk_per_36_min,15,38,0.07894736842105263,0.09999999999999992,0.20021325756902594
blk_per_36_min,16,31,-0.09247311827956989,-0.09999999999999998,0.28411130805442547
blk_per_36_min,17,19,-0.057894736842105256,0,0.24741680364083327
blk_per_36_min,18,14,0.0761904761904762,0,0.14931671807095914
blk_per_36_min,19,7,0.028571428571428574,0.19999999999999996,0.34982989063393705
blk_per_36_min,20,5,5.545694112263355e-18,0.09999999999999998,0.25495097567963926
blk_per_36_min,21,2,-0.15000000000000002,-0.15000000000000002,0.07071067811865482
blk_per_36_min,22,1,0.09999999999999998,0.09999999999999998,NA
fg_percent,2,151,0.008874172185430464,0.00599999999999995,0.036134435032853185
fg_percent,3,184,0.01002717391304348,0.009000000000000008,0.03767033185879974
fg_percent,4,188,-6.489361702127653e-4,-0.0040000000000000036,0.0387787381643804
fg_percent,5,175,-0.001285714285714287,-5.551115123125783e-17,0.034692219330878876
fg_percent,6,166,-5.240963855421684e-4,-0.002999999999999975,0.03311370709635786
fg_percent,7,141,-5.177304964539063e-4,-0.0040000000000000036,0.02979755570917076
fg_percent,8,115,9.217391304347849e-4,0.0010000000000000009,0.030662036595388832
fg_percent,9,115,0.0019304347826086944,0.0040000000000000036,0.0309673630516179
fg_percent,10,97,-1.8556701030927566e-4,-0.0020000000000000018,0.03588300720655345
fg_percent,11,66,-0.003878787878787889,-0.005000000000000032,0.036295587844388154
fg_percent,12,57,0.0034736842105263168,0.0050000000000000044,0.029491587942979552
fg_percent,13,56,-0.005446428571428561,-0.00550000000000006,0.042003861139773224
fg_percent,14,35,-0.0014285714285714314,-0.0010000000000000009,0.04161043825085928
fg_percent,15,24,-0.008125000000000002,-0.010499999999999982,0.03701622734634801
fg_percent,16,18,-0.002722222222222225,-0.004500000000000004,0.03309843706200812
fg_percent,17,15,-0.01986666666666666,-0.017000000000000015,0.042746539820980436
fg_percent,18,12,-0.015833333333333335,-0.0040000000000000036,0.045123735607233526
fg_percent,19,7,-0.002142857142857137,0.0010000000000000564,0.016056448044618216
fg_percent,20,5,-0.005000000000000027,-0.014000000000000068,0.018124568960391864
fg_percent,21,2,0.027999999999999997,0.027999999999999997,0.016970562748477195
fg_percent,22,1,-0.027000000000000024,-0.027000000000000024,NA
ft_percent,2,151,0.019132450331125823,0.01399999999999979,0.06680615495563152
ft_percent,3,184,0.013233695652173912,0.008999999999999952,0.07225353626783546
ft_percent,4,188,0.00561702127659575,0.0020000000000000018,0.06625362165590354
ft_percent,5,175,0.010034285714285709,0.010999999999999899,0.05779003783444344
ft_percent,6,166,3.6746987951807294e-4,0.005500000000000005,0.06948688929476354
ft_percent,7,141,9.645390070921955e-4,-0.0040000000000000036,0.06010578904226373
ft_percent,8,115,-0.005669565217391303,-0.008000000000000007,0.06035417713114583
ft_percent,9,115,0.011260869565217406,0.016999999999999793,0.07442588294315898
ft_percent,10,97,-0.013051546391752579,-0.0040000000000000036,0.06562128896396427
ft_percent,11,66,0.010696969696969701,0.008499999999999952,0.05819356816084898
ft_percent,12,57,0.00552631578947369,0.0030000000000000027,0.05812797005104891
ft_percent,13,56,-0.012339285714285721,-0.0010000000000000564,0.05897989697136853
ft_percent,14,35,0.008799999999999988,0.0040000000000000036,0.061843635841674495
ft_percent,15,24,-0.014125000000000007,-0.013000000000000067,0.048490530227448835
ft_percent,16,18,-0.007388888888888914,-5.000000000000004e-4,0.06371087162642411
ft_percent,17,15,0.015000000000000013,0.008000000000000007,0.06987233255833711
ft_percent,18,12,0.018416666666666665,0.019500000000000017,0.02274945886802317
ft_percent,19,7,-0.02685714285714285,-0.038000000000000034,0.04413399510365591
ft_percent,20,5,0.0274,0.013000000000000012,0.04050061727924656
ft_percent,21,2,-0.03150000000000003,-0.03150000000000003,0.019091883092036802
ft_percent,22,1,0.03200000000000003,0.03200000000000003,NA
pts_per_36_min,2,165,1.2951515151515152,1.4000000000000004,2.460972483175409
pts_per_36_min,3,217,1.0365207373271887,1,2.4184721632954234
pts_per_36_min,4,246,0.697669376693767,0.5,2.3839054423926447
pts_per_36_min,5,231,0.21847041847041843,0.1999999999999993,2.5105853904747173
pts_per_36_min,6,213,0.3459702660406886,0.29999999999999716,2.387826667182513
pts_per_36_min,7,190,-0.12377192982456145,0,2.5906284514946356
pts_per_36_min,8,174,-0.44865900383141766,-0.24999999999999822,2.583540880954527
pts_per_36_min,9,159,0.2378406708595388,-0.13333333333333286,2.472087985246957
pts_per_36_min,10,129,-0.8757751937984496,-1,2.68313830527112
pts_per_36_min,11,95,-0.6760526315789475,-0.6999999999999993,2.6925975604415813
pts_per_36_min,12,88,-0.8700757575757577,-0.7000000000000002,2.6970105595705265
pts_per_36_min,13,74,-0.804054054054054,-0.5499999999999998,2.020382837440351
pts_per_36_min,14,49,-0.49438775510204086,-0.5,2.4922317896361217
pts_per_36_min,15,38,-1.7587719298245612,-1.549999999999999,2.432616631594031
pts_per_36_min,16,31,-0.6129032258064517,-1.0999999999999996,2.4278885418824445
pts_per_36_min,17,19,-1.1578947368421053,-0.6999999999999993,1.4986760455611017
pts_per_36_min,18,14,-0.29761904761904795,-0.05000000000000071,2.48515126319844
pts_per_36_min,19,7,-1.9714285714285713,-2.4000000000000004,2.2728207772972966
pts_per_36_min,20,5,-0.8999999999999997,-0.9000000000000021,0.6519202405202639
pts_per_36_min,21,2,0.5499999999999989,0.5499999999999989,5.161879502661797
pts_per_36_min,22,1,-1,-1,NA
stl_per_36_min,2,165,0.03878787878787879,0,0.2865856122196527
stl_per_36_min,3,217,-0.016666666666666666,0,0.28237856561890046
stl_per_36_min,4,246,0.044715447154471545,0,0.2776587986992405
stl_per_36_min,5,231,-0.004184704184704188,0,0.3197021508419102
stl_per_36_min,6,213,0.0156885758998435,0,0.29148807747157973
stl_per_36_min,7,190,-0.04192982456140351,0,0.2789326591202546
stl_per_36_min,8,174,0.019875478927203056,0,0.2591867012910464
stl_per_36_min,9,159,-0.005765199161425566,0,0.2687876321827869
stl_per_36_min,10,129,0.006266149870801029,0,0.2745735942248711
stl_per_36_min,11,95,0.008947368421052622,0,0.27022843552434034
stl_per_36_min,12,88,-0.03257575757575756,0,0.28159438292279976
stl_per_36_min,13,74,-0.0346846846846847,-0.06666666666666665,0.2548428464431218
stl_per_36_min,14,49,-0.02278911564625849,0,0.2889695509228338
stl_per_36_min,15,38,0.0017543859649122643,0,0.2419822255926371
stl_per_36_min,16,31,-0.047311827956989225,-0.09999999999999998,0.3309665075981743
stl_per_36_min,17,19,0.0157894736842105,0.09999999999999987,0.2115108557622118
stl_per_36_min,18,14,0.016666666666666687,0,0.16984155512168939
stl_per_36_min,19,7,3.171968980877904e-17,0,0.14142135623730948
stl_per_36_min,20,5,-0.059999999999999984,0,0.260768096208106
stl_per_36_min,21,2,0.04999999999999999,0.04999999999999999,0.49497474683058335
stl_per_36_min,22,1,-0.30000000000000004,-0.30000000000000004,NA
tov_per_36_min,2,165,0.08464646464646466,0.10000000000000009,0.46501590976799634
tov_per_36_min,3,217,0.009562211981566805,0,0.4495007808688088
tov_per_36_min,4,246,0.06452574525745257,0,0.48160646331032225
tov_per_36_min,5,231,-0.026839826839826837,-0.09999999999999964,0.44036784012855296
tov_per_36_min,6,213,-0.0043818466353677645,0,0.41150541904027077
tov_per_36_min,7,190,-0.002236842105263161,0,0.3792471184907895
tov_per_36_min,8,174,-0.029885057471264364,0,0.4520275661494422
tov_per_36_min,9,159,-0.030765199161425578,-0.06666666666666665,0.4386409671999766
tov_per_36_min,10,129,0.005167958656330754,0,0.41600884765404056
tov_per_36_min,11,95,-0.10140350877192982,-0.09999999999999964,0.44394177278500313
tov_per_36_min,12,88,-0.10634469696969696,-0.19999999999999984,0.4522241655531601
tov_per_36_min,13,74,-0.051351351351351354,-0.06666666666666643,0.4068735602607335
tov_per_36_min,14,49,-0.04846938775510201,0,0.37459728943453485
tov_per_36_min,15,38,-0.10087719298245615,-0.16666666666666657,0.43822511541226605
tov_per_36_min,16,31,-0.15698924731182795,-0.19999999999999973,0.4717338820098481
tov_per_36_min,17,19,0.1543859649122807,0.033333333333333326,0.4216678416490421
tov_per_36_min,18,14,-0.13333333333333328,-0.09999999999999998,0.2739392907976785
tov_per_36_min,19,7,-0.08571428571428578,-0.10000000000000009,0.44880794492585735
tov_per_36_min,20,5,-0.24,-0.10000000000000009,0.6387487769068524
tov_per_36_min,21,2,0.10000000000000009,0.10000000000000009,0.14142135623730964
tov_per_36_min,22,1,0.2999999999999998,0.2999999999999998,NA
trb_per_36_min,2,165,0.17333333333333337,0.20000000000000018,0.9474770377836981
trb_per_36_min,3,217,0.14965437788018432,0.09999999999999964,0.9821216618607
trb_per_36_min,4,246,0.06406504065040651,0,0.9604542138416772
trb_per_36_min,5,231,-0.05887445887445893,0,1.102726915584487
trb_per_36_min,6,213,-0.06881846635367754,0,1.0576780145222442
trb_per_36_min,7,190,0.22570175438596493,0.11666666666666714,1.0854992343744854
trb_per_36_min,8,174,-0.137404214559387,-0.09999999999999987,1.08683543115789
trb_per_36_min,9,159,-0.043605870020964395,0,1.131948456962549
trb_per_36_min,10,129,0.0919250645994833,-0.033333333333333215,1.0808444657293483
trb_per_36_min,11,95,-0.08008771929824565,-0.09999999999999964,0.9053527246621914
trb_per_36_min,12,88,-0.12045454545454544,0,0.8871006099439959
trb_per_36_min,13,74,0.13558558558558567,0.050000000000000044,1.1025269312480661
trb_per_36_min,14,49,-0.02142857142857148,0.09999999999999964,1.1507445254977158
trb_per_36_min,15,38,-0.3342105263157893,-0.26666666666666616,0.756770713253859
trb_per_36_min,16,31,0.08817204301075258,-0.10000000000000009,1.1319451755830259
trb_per_36_min,17,19,-0.12105263157894722,-0.2999999999999998,1.3216717120223063
trb_per_36_min,18,14,-0.15476190476190468,0,0.7617576552124209
trb_per_36_min,19,7,0.21428571428571416,0.2999999999999998,0.9281317640446165
trb_per_36_min,20,5,-0.24000000000000005,-0.5999999999999996,0.7924645102463582
trb_per_36_min,21,2,-0.4500000000000002,-0.4500000000000002,0.7778174593052021
trb_per_36_min,22,1,0.5999999999999996,0.5999999999999996,NA
x3p_per_36_min,2,165,0.15676767676767678,0.10000000000000009,0.4507179494446033
x3p_per_36_min,3,217,0.19097542242703533,0.10000000000000009,0.4856514052888038
x3p_per_36_min,4,246,0.1053658536585366,0.09999999999999976,0.44514913990845933
x3p_per_36_min,5,231,0.06753246753246751,0,0.4836447979746529
x3p_per_36_min,6,213,0.12965571205007825,0.06666666666666643,0.4645069198629923
x3p_per_36_min,7,190,0.10925438596491228,0.09999999999999976,0.5081228345744117
x3p_per_36_min,8,174,-0.012978927203065142,0,0.5000621851533006
x3p_per_36_min,9,159,0.12651991614255764,0.09999999999999987,0.5023545609529789
x3p_per_36_min,10,129,-0.05155038759689922,0,0.535839820870464
